"","stimulus_num","mean_score","sti_gender","sti_weight","sti_race"
"74","74",50.5111111111111,"male",2,"Black"
"75","75",56.1333333333333,"female",2,"Asian"
"76","76",59.1481481481481,"female",2,"White"
"77","77",65.4,"male",2,"White"
"78","78",51.7703703703704,"female",2,"Asian"
"79","79",53.3037037037037,"female",2,"White"
"80","80",57.9925925925926,"male",2,"White"
"81","81",74.0740740740741,"male",2,"Black"
"82","82",58.4518518518518,"female",2,"Black"
"83","83",67.162962962963,"female",2,"Black"
"84","84",62.1851851851852,"male",2,"Asian"
"85","85",62.0444444444444,"male",2,"Black"
"86","86",56.762962962963,"male",2,"Black"
"87","87",63.9703703703704,"male",2,"Asian"
"88","88",64.0444444444445,"female",2,"Black"
"89","89",65.8222222222222,"female",2,"Asian"
"90","90",66.6740740740741,"male",2,"White"
"91","91",51.6444444444444,"female",2,"White"
"92","92",55.6666666666667,"female",2,"White"
"93","93",66.0148148148148,"male",2,"Black"
"94","94",63.3555555555556,"female",2,"Black"
"95","95",50.037037037037,"female",2,"White"
"96","96",51.1481481481481,"male",2,"Black"
"97","97",60.0592592592593,"male",2,"Asian"
"98","98",53.3259259259259,"female",2,"Asian"
"99","99",60.4888888888889,"female",0,"Asian"
"100","100",58.4,"female",0,"White"
"101","101",55.5703703703704,"male",0,"Black"
"102","102",65.5259259259259,"female",0,"Black"
"103","103",56.6296296296296,"male",0,"White"
"104","104",57.1333333333333,"female",0,"Asian"
"105","105",71.1925925925926,"male",0,"White"
"106","106",60.6962962962963,"male",0,"Asian"
"107","107",63.5481481481482,"male",0,"White"
"108","108",64.7037037037037,"female",0,"White"
"109","109",58.0074074074074,"female",0,"White"
"110","110",74.6222222222222,"male",0,"Black"
"111","111",54.4592592592593,"female",0,"Asian"
"112","112",67.0074074074074,"male",0,"Asian"
"113","113",62.2,"female",-2,"Asian"
"114","114",53.9333333333333,"female",-2,"Black"
"115","115",59.6222222222222,"male",-2,"Asian"
"116","116",62.5185185185185,"female",-2,"Black"
"117","117",55.9111111111111,"female",-2,"White"
"118","118",69.5851851851852,"male",-2,"White"
"119","119",64.8074074074074,"female",-2,"Asian"
"120","120",54.5185185185185,"male",-2,"Black"
"121","121",62.0740740740741,"male",-2,"Asian"
"122","122",63.2518518518519,"female",-2,"White"
"123","123",55.6148148148148,"male",-2,"White"
"124","124",64.2074074074074,"male",-2,"Asian"
"125","125",54.2,"female",-2,"White"
"126","126",64.5407407407407,"male",-2,"White"
