"","PROLIFIC_PID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150"
"11","5b87e73d53303600015ea51c",52,54,70,56,49,71,66,66,54,67,63,64,71,78,56,73,77,54,78,59,68,55,81,57,56,81,61,70,71,65,48,66,66,58,83,48,52,73,59,52,65,64,68,67,54,62,67,64,58,50,56,59,61,67,76,61,74,49,69,70,60,74,69,61,67,68,64,66,59,76,70,56,50,58,65,60,59,65,59,57,68,64,71,64,67,68,69,65,73,55,60,61,73,69,48,59,76,72,66,54,66,62,52,75,71,62,53,57,56,79,59,74,65,64,56,70,60,49,73,64,72,54,53,58,47,49,75,70,68,68,66,54,62,73,62,71,53,71,52,68,53,52,69,69,60,70,69,55,62,76
"12","559052f3fdf99b3f7aada553",38,68,89,27,60,66,91,78,69,32,77,53,93,66,41,88,82,68,71,22,62,35,71,64,58,85,66,62,65,81,78,57,76,70,87,66,42,82,67,75,62,83,85,76,20,68,81,81,86,38,74,28,70,88,84,77,68,19,85,56,58,79,56,77,69,81,77,73,64,79,70,60,33,67,80,57,18,80,65,37,80,60,80,71,70,82,46,83,94,16,64,77,87,90,75,69,66,82,86,33,76,77,19,83,19,74,23,64,55,87,67,80,92,85,82,78,65,11,84,80,84,79,23,75,86,30,87,69,78,63,81,67,79,58,74,8,73,84,49,60,38,21,65,17,78,75,60,58,76,78
"13","5c2965d11c8e4c0001b309b7",100,95,100,95,85,100,100,100,85,100,80,95,80,100,85,90,100,100,100,90,95,100,95,70,90,90,100,100,80,100,85,100,85,85,100,100,40,95,100,70,65,85,100,100,95,85,100,95,60,100,100,95,90,95,95,100,90,70,90,100,100,100,90,90,100,85,100,95,85,100,85,75,40,45,90,100,100,85,60,85,95,90,100,90,100,85,100,100,95,95,85,95,100,95,75,95,100,85,95,100,80,100,85,85,100,80,85,95,95,100,80,95,85,80,100,95,90,100,100,70,90,60,40,95,75,100,95,85,90,95,100,80,100,100,100,100,75,95,95,95,85,100,95,85,95,100,100,95,70,95
"14","64ebaee7299cd319130bad92",56,50,62,57,61,81,66,46,44,55,45,53,50,59,53,53,55,49,52,47,57,44,56,47,44,49,51,48,65,58,49,50,51,45,69,38,52,59,52,51,47,55,60,57,59,43,57,50,53,53,49,54,44,70,48,53,45,55,63,51,46,52,45,48,55,49,51,48,45,57,47,51,57,45,44,64,62,45,46,59,77,49,49,53,44,63,51,51,56,52,45,43,54,43,43,38,48,39,40,46,53,54,53,46,56,50,52,61,44,76,44,58,49,50,52,49,43,60,55,46,55,60,45,52,41,50,49,52,46,48,50,47,52,49,43,53,48,53,43,45,49,48,44,53,44,56,48,63,42,42
"15","60fde74940100db428b34a06",40,50,55,50,60,69,50,45,70,60,45,50,45,65,45,50,60,55,45,50,44,55,60,55,47,70,50,55,40,50,40,50,50,40,60,50,45,70,45,44,50,40,45,61,57,70,70,45,60,60,45,55,45,60,70,56,45,50,50,50,45,61,44,59,45,44,50,51,44,65,45,55,43,60,60,55,55,45,56,50,70,61,50,50,65,53,51,70,44,56,42,43,60,75,40,57,54,45,43,50,52,66,45,44,65,51,55,55,44,67,44,52,43,44,51,70,40,55,61,58,61,52,45,56,43,53,41,51,62,59,64,54,60,51,58,61,63,52,40,76,56,55,40,50,43,66,42,59,67,40
"16","63403b47287756c1978d2985",70,71,82,74,60,17,83,77,70,75,59,52,38,54,60,61,66,73,82,60,66,32,59,82,86,78,69,76,50,68,74,76,68,83,29,47,53,78,66,38,69,77,76,70,51,48,53,51,66,63,84,81,57,72,73,66,37,63,82,41,77,62,31,69,69,84,70,74,70,36,27,74,69,82,72,65,51,58,41,69,38,59,32,55,96,64,77,71,88,64,74,61,77,69,71,82,63,88,79,72,81,77,50,53,92,86,77,80,50,81,77,61,79,75,76,64,98,81,41,68,67,66,84,80,81,80,60,84,79,78,76,64,82,83,47,55,43,78,63,87,31,52,76,60,83,51,89,70,68,51
"17","63fcb3abff7248e2177ddb48",100,52,92,89,66,100,92,74,90,100,92,92,81,99,35,53,87,82,74,60,69,71,46,67,62,78,29,45,55,36,76,100,59,92,100,29,100,68,50,70,44,100,82,86,100,65,100,91,51,55,27,83,89,76,73,50,59,73,57,100,95,98,77,77,62,90,43,67,93,75,39,35,96,45,47,75,85,34,76,83,52,60,95,44,68,44,86,93,87,79,83,93,58,75,84,24,47,82,66,90,49,70,96,49,96,64,97,85,82,94,48,80,91,62,97,52,81,82,54,28,71,81,96,48,92,94,45,58,62,47,59,71,50,70,34,90,43,89,86,68,88,84,91,54,71,93,90,64,50,49
"18","62bbcce64f644bd5698c9422",28,11,79,51,91,44,72,10,21,92,38,51,79,10,47,5,82,70,26,32,51,6,10,8,9,14,2,3,41,10,6,79,30,46,73,8,35,21,58,55,3,46,78,2,35,8,74,9,5,10,2,29,20,10,8,3,7,15,8,74,83,83,7,21,47,56,7,16,3,19,6,2,9,12,2,54,5,5,15,9,15,9,79,11,6,6,52,14,60,31,51,38,3,3,8,6,11,6,3,80,5,5,6,7,59,7,9,66,15,13,8,6,8,5,9,5,36,78,10,5,9,8,35,11,7,5,7,5,10,8,11,11,50,51,3,54,10,57,21,10,15,12,32,8,31,77,45,70,8,11
"19","653d552eb6d4d4f047567fa1",70,33,68,64,88,63,70,76,92,90,92,67,54,80,76,84,58,60,80,45,69,76,92,63,62,70,59,74,89,88,73,76,70,37,73,57,70,67,71,31,48,80,85,73,78,73,59,68,62,80,55,81,62,80,61,82,81,57,86,67,48,64,74,66,52,72,69,75,40,75,69,56,44,66,65,64,63,67,52,58,67,56,70,85,60,77,79,56,73,82,51,50,58,69,49,61,59,55,81,58,58,80,64,63,72,60,65,59,60,78,85,70,70,64,55,76,50,87,58,57,64,64,60,68,50,57,70,56,66,86,78,46,56,66,66,74,55,77,52,78,73,71,52,78,64,72,63,52,64,82
"20","6119d9f5a882080ef1c9e9e6",68,61,31,49,49,100,35,33,51,51,47,77,51,51,47,54,66,47,33,70,94,75,90,41,50,76,64,49,49,48,67,52,47,49,50,68,69,48,88,50,67,46,70,60,51,48,27,52,69,53,63,72,65,52,45,63,72,41,60,48,46,39,54,64,51,54,54,67,56,52,48,51,48,53,52,62,48,71,43,40,39,48,48,64,49,52,47,29,48,53,49,54,70,47,49,51,54,50,51,69,49,46,60,54,63,64,66,50,55,60,63,63,44,49,50,70,49,47,65,49,56,54,60,52,48,66,46,59,42,75,65,48,63,48,61,62,63,51,56,56,54,55,48,51,59,36,54,64,50,71
